true/pred,Complain,Praise,Apologise,Thank,Criticize,Agree,Taunt,Flaunt,Joke,Oppose,Comfort,Care,Inform,Advise,Arrange,Introduce,Leave,Prevent,Greet,Ask for help
Complain,17,5,1,2,4,1,0,0,1,0,1,1,13,2,3,2,1,3,0,0
Praise,11,8,4,1,2,1,0,0,0,1,1,1,5,1,0,3,1,1,2,0
Apologise,4,2,12,0,1,0,0,0,0,0,1,0,5,0,0,2,0,0,0,0
Thank,3,2,1,12,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0
Criticize,6,3,0,1,3,0,0,0,0,0,1,0,5,1,1,0,1,0,0,1
Agree,1,0,2,3,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,0
Taunt,3,0,1,0,1,0,0,0,0,0,0,3,2,0,0,0,1,1,0,0
Flaunt,5,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Joke,3,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Oppose,2,1,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,1,0,0
Comfort,10,0,0,1,0,0,0,0,0,1,1,2,1,1,0,0,1,0,0,0
Care,0,2,1,2,0,2,0,0,0,0,0,2,3,2,0,1,2,0,2,0
Inform,13,2,2,1,0,0,0,0,0,1,0,4,21,4,5,3,0,1,0,0
Advise,9,0,0,0,3,0,0,1,0,0,2,0,5,3,0,1,1,0,0,0
Arrange,3,3,1,0,1,0,0,0,0,0,1,2,2,4,2,2,1,0,0,0
Introduce,2,3,1,0,0,1,1,0,0,0,1,1,7,0,0,4,0,0,0,0
Leave,6,0,0,1,0,1,1,0,0,0,0,1,2,1,0,1,1,0,1,1
Prevent,4,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,3,1,1
Greet,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,4,1
Ask for help,3,0,0,0,0,0,0,0,1,0,0,1,2,2,1,0,0,0,0,0
