true/pred,Complain,Praise,Apologise,Thank,Criticize,Agree,Taunt,Flaunt,Joke,Oppose,Comfort,Care,Inform,Advise,Arrange,Introduce,Leave,Prevent,Greet,Ask for help
Complain,0.298246,0.087719,0.017544,0.035088,0.070175,0.017544,0.000000,0.000000,0.017544,0.000000,0.017544,0.017544,0.228070,0.035088,0.052632,0.035088,0.017544,0.052632,0.000000,0.000000
Praise,0.255814,0.186047,0.093023,0.023256,0.046512,0.023256,0.000000,0.000000,0.000000,0.023256,0.023256,0.023256,0.116279,0.023256,0.000000,0.069767,0.023256,0.023256,0.046512,0.000000
Apologise,0.148148,0.074074,0.444444,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.185185,0.000000,0.000000,0.074074,0.000000,0.000000,0.000000,0.000000
Thank,0.120000,0.080000,0.040000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,0.000000,0.040000,0.080000,0.000000
Criticize,0.260870,0.130435,0.000000,0.043478,0.130435,0.000000,0.000000,0.000000,0.000000,0.000000,0.043478,0.000000,0.217391,0.043478,0.043478,0.000000,0.043478,0.000000,0.000000,0.043478
Agree,0.083333,0.000000,0.166667,0.250000,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000
Taunt,0.250000,0.000000,0.083333,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.166667,0.000000,0.000000,0.000000,0.083333,0.083333,0.000000,0.000000
Flaunt,0.500000,0.100000,0.100000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Joke,0.300000,0.100000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Oppose,0.200000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.100000,0.300000,0.100000,0.000000,0.000000,0.100000,0.000000,0.000000
Comfort,0.555556,0.000000,0.000000,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.055556,0.055556,0.111111,0.055556,0.055556,0.000000,0.000000,0.055556,0.000000,0.000000,0.000000
Care,0.000000,0.105263,0.052632,0.105263,0.000000,0.105263,0.000000,0.000000,0.000000,0.000000,0.000000,0.105263,0.157895,0.105263,0.000000,0.052632,0.105263,0.000000,0.105263,0.000000
Inform,0.228070,0.035088,0.035088,0.017544,0.000000,0.000000,0.000000,0.000000,0.000000,0.017544,0.000000,0.070175,0.368421,0.070175,0.087719,0.052632,0.000000,0.017544,0.000000,0.000000
Advise,0.360000,0.000000,0.000000,0.000000,0.120000,0.000000,0.000000,0.040000,0.000000,0.000000,0.080000,0.000000,0.200000,0.120000,0.000000,0.040000,0.040000,0.000000,0.000000,0.000000
Arrange,0.136364,0.136364,0.045455,0.000000,0.045455,0.000000,0.000000,0.000000,0.000000,0.000000,0.045455,0.090909,0.090909,0.181818,0.090909,0.090909,0.045455,0.000000,0.000000,0.000000
Introduce,0.095238,0.142857,0.047619,0.000000,0.000000,0.047619,0.047619,0.000000,0.000000,0.000000,0.047619,0.047619,0.333333,0.000000,0.000000,0.190476,0.000000,0.000000,0.000000,0.000000
Leave,0.352941,0.000000,0.000000,0.058824,0.000000,0.058824,0.058824,0.000000,0.000000,0.000000,0.000000,0.058824,0.117647,0.058824,0.000000,0.058824,0.058824,0.000000,0.058824,0.058824
Prevent,0.266667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066667,0.066667,0.000000,0.200000,0.066667,0.000000,0.000000,0.200000,0.066667,0.066667
Greet,0.083333,0.083333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083333,0.000000,0.166667,0.000000,0.000000,0.000000,0.083333,0.000000,0.333333,0.083333
Ask for help,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.100000,0.200000,0.200000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
