true/pred,Complain,Praise,Apologise,Thank,Criticize,Agree,Taunt,Flaunt,Joke,Oppose,Comfort,Care,Inform,Advise,Arrange,Introduce,Leave,Prevent,Greet,Ask for help
Complain,17,6,1,1,7,1,2,2,0,1,0,0,9,3,2,1,2,1,0,1
Praise,9,19,2,2,3,0,0,1,0,0,1,0,2,0,2,2,0,0,0,0
Apologise,2,3,12,0,0,0,0,0,0,0,0,0,4,1,1,3,1,0,0,0
Thank,0,0,5,8,3,3,0,0,0,0,0,1,3,0,0,1,0,1,0,0
Criticize,8,3,0,1,1,0,0,0,0,1,1,2,4,2,0,0,0,0,0,0
Agree,0,1,1,6,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
Taunt,2,0,0,1,0,0,2,0,0,1,0,1,2,1,0,1,0,1,0,0
Flaunt,2,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
Joke,2,4,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0
Oppose,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,2,0,0,0
Comfort,2,4,1,1,0,1,0,0,0,2,1,2,1,2,0,0,0,1,0,0
Care,2,4,1,1,1,0,0,0,0,0,2,1,1,1,1,1,0,1,2,0
Inform,6,3,1,0,2,0,2,0,0,1,4,2,23,2,4,5,0,2,0,0
Advise,7,2,1,1,1,0,0,0,0,0,2,2,4,4,1,0,0,0,0,0
Arrange,4,2,1,0,2,0,0,0,0,0,1,0,5,4,1,1,0,1,0,0
Introduce,3,3,2,0,0,1,0,0,0,0,1,0,9,1,1,0,0,0,0,0
Leave,6,4,0,0,0,1,0,0,0,1,0,0,0,1,2,0,1,1,0,0
Prevent,3,1,0,0,1,2,0,0,1,0,0,0,2,1,1,0,1,1,1,0
Greet,0,1,0,0,1,1,0,0,0,0,0,1,4,0,0,1,0,0,3,0
Ask for help,2,1,0,0,1,0,0,0,0,0,0,1,1,2,0,0,2,0,0,0
