true/pred,Complain,Praise,Apologise,Thank,Criticize,Agree,Taunt,Flaunt,Joke,Oppose,Comfort,Care,Inform,Advise,Arrange,Introduce,Leave,Prevent,Greet,Ask for help
Complain,0.298246,0.105263,0.017544,0.017544,0.122807,0.017544,0.035088,0.035088,0.000000,0.017544,0.000000,0.000000,0.157895,0.052632,0.035088,0.017544,0.035088,0.017544,0.000000,0.017544
Praise,0.209302,0.441860,0.046512,0.046512,0.069767,0.000000,0.000000,0.023256,0.000000,0.000000,0.023256,0.000000,0.046512,0.000000,0.046512,0.046512,0.000000,0.000000,0.000000,0.000000
Apologise,0.074074,0.111111,0.444444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.148148,0.037037,0.037037,0.111111,0.037037,0.000000,0.000000,0.000000
Thank,0.000000,0.000000,0.200000,0.320000,0.120000,0.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.120000,0.000000,0.000000,0.040000,0.000000,0.040000,0.000000,0.000000
Criticize,0.347826,0.130435,0.000000,0.043478,0.043478,0.000000,0.000000,0.000000,0.000000,0.043478,0.043478,0.086957,0.173913,0.086957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Agree,0.000000,0.083333,0.083333,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083333,0.000000,0.083333,0.000000,0.000000,0.000000,0.083333,0.083333,0.000000,0.000000
Taunt,0.166667,0.000000,0.000000,0.083333,0.000000,0.000000,0.166667,0.000000,0.000000,0.083333,0.000000,0.083333,0.166667,0.083333,0.000000,0.083333,0.000000,0.083333,0.000000,0.000000
Flaunt,0.200000,0.100000,0.100000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.100000,0.100000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
Joke,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
Oppose,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.100000,0.100000,0.000000,0.100000,0.100000,0.100000,0.000000,0.200000,0.000000,0.000000,0.000000
Comfort,0.111111,0.222222,0.055556,0.055556,0.000000,0.055556,0.000000,0.000000,0.000000,0.111111,0.055556,0.111111,0.055556,0.111111,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000
Care,0.105263,0.210526,0.052632,0.052632,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000,0.105263,0.052632,0.052632,0.052632,0.052632,0.052632,0.000000,0.052632,0.105263,0.000000
Inform,0.105263,0.052632,0.017544,0.000000,0.035088,0.000000,0.035088,0.000000,0.000000,0.017544,0.070175,0.035088,0.403509,0.035088,0.070175,0.087719,0.000000,0.035088,0.000000,0.000000
Advise,0.280000,0.080000,0.040000,0.040000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080000,0.080000,0.160000,0.160000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000
Arrange,0.181818,0.090909,0.045455,0.000000,0.090909,0.000000,0.000000,0.000000,0.000000,0.000000,0.045455,0.000000,0.227273,0.181818,0.045455,0.045455,0.000000,0.045455,0.000000,0.000000
Introduce,0.142857,0.142857,0.095238,0.000000,0.000000,0.047619,0.000000,0.000000,0.000000,0.000000,0.047619,0.000000,0.428571,0.047619,0.047619,0.000000,0.000000,0.000000,0.000000,0.000000
Leave,0.352941,0.235294,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.058824,0.117647,0.000000,0.058824,0.058824,0.000000,0.000000
Prevent,0.200000,0.066667,0.000000,0.000000,0.066667,0.133333,0.000000,0.000000,0.066667,0.000000,0.000000,0.000000,0.133333,0.066667,0.066667,0.000000,0.066667,0.066667,0.066667,0.000000
Greet,0.000000,0.083333,0.000000,0.000000,0.083333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.083333,0.333333,0.000000,0.000000,0.083333,0.000000,0.000000,0.250000,0.000000
Ask for help,0.200000,0.100000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.200000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000
