true/pred,Complain,Praise,Apologise,Thank,Criticize,Agree,Taunt,Flaunt,Joke,Oppose,Comfort,Care,Inform,Advise,Arrange,Introduce,Leave,Prevent,Greet,Ask for help
Complain,26,3,0,0,12,0,1,2,1,4,0,0,6,2,0,0,0,0,0,0
Praise,0,37,0,1,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0
Apologise,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thank,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Criticize,1,0,0,0,17,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0
Agree,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taunt,1,0,0,0,3,0,2,0,3,0,1,0,1,0,1,0,0,0,0,0
Flaunt,4,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0
Joke,1,0,0,0,0,0,0,4,2,0,0,0,0,2,0,1,0,0,0,0
Oppose,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,3,0,1,0,0
Comfort,1,1,0,0,0,0,1,0,0,2,13,0,0,0,0,0,0,0,0,0
Care,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1
Inform,4,2,0,0,1,0,0,0,1,0,0,0,39,4,3,1,2,0,0,0
Advise,0,0,0,0,0,0,1,0,0,0,1,1,0,21,1,0,0,0,0,0
Arrange,0,0,0,0,1,0,0,0,1,0,0,0,1,1,16,0,1,0,0,1
Introduce,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,13,1,0,0,0
Leave,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,13,0,0,0
Prevent,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,11,0,0
Greet,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,8,0
Ask for help,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,7
