true/pred,Complain,Praise,Apologise,Thank,Criticize,Agree,Taunt,Flaunt,Joke,Oppose,Comfort,Care,Inform,Advise,Arrange,Introduce,Leave,Prevent,Greet,Ask for help
Complain,0.456140,0.052632,0.000000,0.000000,0.210526,0.000000,0.017544,0.035088,0.017544,0.070175,0.000000,0.000000,0.105263,0.035088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Praise,0.000000,0.860465,0.000000,0.023256,0.000000,0.000000,0.000000,0.000000,0.023256,0.000000,0.023256,0.000000,0.046512,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Apologise,0.037037,0.000000,0.962963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Thank,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Criticize,0.043478,0.000000,0.000000,0.000000,0.739130,0.000000,0.086957,0.000000,0.000000,0.000000,0.000000,0.043478,0.000000,0.086957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Agree,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Taunt,0.083333,0.000000,0.000000,0.000000,0.250000,0.000000,0.166667,0.000000,0.250000,0.000000,0.083333,0.000000,0.083333,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000
Flaunt,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Joke,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.200000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000
Oppose,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.300000,0.100000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,0.100000,0.000000,0.000000
Comfort,0.055556,0.055556,0.000000,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000,0.111111,0.722222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Care,0.000000,0.000000,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.894737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052632
Inform,0.070175,0.035088,0.000000,0.000000,0.017544,0.000000,0.000000,0.000000,0.017544,0.000000,0.000000,0.000000,0.684211,0.070175,0.052632,0.017544,0.035088,0.000000,0.000000,0.000000
Advise,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.040000,0.040000,0.000000,0.840000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000
Arrange,0.000000,0.000000,0.000000,0.000000,0.045455,0.000000,0.000000,0.000000,0.045455,0.000000,0.000000,0.000000,0.045455,0.045455,0.727273,0.000000,0.045455,0.000000,0.000000,0.045455
Introduce,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047619,0.047619,0.000000,0.000000,0.000000,0.238095,0.000000,0.000000,0.619048,0.047619,0.000000,0.000000,0.000000
Leave,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.176471,0.000000,0.058824,0.000000,0.764706,0.000000,0.000000,0.000000
Prevent,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066667,0.133333,0.000000,0.066667,0.000000,0.000000,0.000000,0.000000,0.733333,0.000000,0.000000
Greet,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.000000,0.000000,0.083333,0.000000,0.000000,0.666667,0.000000
Ask for help,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.000000,0.100000,0.000000,0.000000,0.700000
