true/pred,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10,Class_11,Class_12,Class_13,Class_14,Class_15,Class_16,Class_17,Class_18,Class_19
Class_0,38,2,0,0,7,0,1,1,0,4,0,0,3,1,0,0,0,0,0,0
Class_1,1,36,0,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0
Class_2,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Class_3,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Class_4,4,0,0,0,12,0,1,0,0,0,0,1,1,2,1,0,0,1,0,0
Class_5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Class_6,1,1,0,0,2,0,5,0,1,0,0,0,1,0,0,0,1,0,0,0
Class_7,3,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0
Class_8,1,0,0,0,0,0,0,2,5,0,0,0,0,1,0,1,0,0,0,0
Class_9,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,2,0,1,0,0
Class_10,1,0,0,0,0,0,1,0,0,1,15,0,0,0,0,0,0,0,0,0
Class_11,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1
Class_12,4,2,0,0,1,0,0,0,1,0,1,0,40,2,3,1,1,0,1,0
Class_13,0,1,0,0,0,0,1,0,0,0,1,1,0,20,1,0,0,0,0,0
Class_14,0,0,0,0,1,0,0,0,0,0,0,0,2,2,16,0,1,0,0,0
Class_15,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,13,0,0,0,1
Class_16,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,11,0,0,0
Class_17,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,11,0,0
Class_18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,9,0
Class_19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8
