true_label_id,true_label,pred_label_id,pred_label,count
0,Class_0,4,Class_4,7
0,Class_0,9,Class_9,4
4,Class_4,0,Class_0,4
12,Class_12,0,Class_0,4
15,Class_15,12,Class_12,4
0,Class_0,12,Class_12,3
7,Class_7,0,Class_0,3
12,Class_12,14,Class_14,3
0,Class_0,1,Class_1,2
1,Class_1,12,Class_12,2
4,Class_4,13,Class_13,2
6,Class_6,4,Class_4,2
8,Class_8,7,Class_7,2
9,Class_9,15,Class_15,2
12,Class_12,1,Class_1,2
12,Class_12,13,Class_13,2
14,Class_14,12,Class_12,2
14,Class_14,13,Class_13,2
15,Class_15,1,Class_1,2
16,Class_16,0,Class_0,2
16,Class_16,12,Class_12,2
16,Class_16,14,Class_14,2
17,Class_17,12,Class_12,2
18,Class_18,12,Class_12,2
0,Class_0,6,Class_6,1
0,Class_0,7,Class_7,1
0,Class_0,13,Class_13,1
1,Class_1,0,Class_0,1
1,Class_1,3,Class_3,1
1,Class_1,5,Class_5,1
1,Class_1,10,Class_10,1
1,Class_1,13,Class_13,1
2,Class_2,0,Class_0,1
3,Class_3,1,Class_1,1
4,Class_4,6,Class_6,1
4,Class_4,11,Class_11,1
4,Class_4,12,Class_12,1
4,Class_4,14,Class_14,1
4,Class_4,17,Class_17,1
6,Class_6,0,Class_0,1
6,Class_6,1,Class_1,1
6,Class_6,8,Class_8,1
6,Class_6,12,Class_12,1
6,Class_6,16,Class_16,1
7,Class_7,8,Class_8,1
7,Class_7,9,Class_9,1
8,Class_8,0,Class_0,1
8,Class_8,13,Class_13,1
8,Class_8,15,Class_15,1
9,Class_9,0,Class_0,1
9,Class_9,6,Class_6,1
9,Class_9,10,Class_10,1
9,Class_9,17,Class_17,1
10,Class_10,0,Class_0,1
10,Class_10,6,Class_6,1
10,Class_10,9,Class_9,1
11,Class_11,19,Class_19,1
12,Class_12,4,Class_4,1
12,Class_12,8,Class_8,1
12,Class_12,10,Class_10,1
12,Class_12,15,Class_15,1
12,Class_12,16,Class_16,1
12,Class_12,18,Class_18,1
13,Class_13,1,Class_1,1
13,Class_13,6,Class_6,1
13,Class_13,10,Class_10,1
13,Class_13,11,Class_11,1
13,Class_13,14,Class_14,1
14,Class_14,4,Class_4,1
14,Class_14,16,Class_16,1
15,Class_15,8,Class_8,1
15,Class_15,19,Class_19,1
17,Class_17,9,Class_9,1
17,Class_17,10,Class_10,1
18,Class_18,15,Class_15,1
19,Class_19,13,Class_13,1
19,Class_19,14,Class_14,1
