label_id,label,precision,recall,f1,support
0,Complain,0.6730769230769231,0.6140350877192983,0.6422018348623854,57
1,Praise,0.875,0.813953488372093,0.8433734939759036,43
2,Apologise,1.0,0.9629629629629629,0.9811320754716981,27
3,Thank,0.96,0.96,0.96,25
4,Criticize,0.5217391304347826,0.5217391304347826,0.5217391304347826,23
5,Agree,0.8,1.0,0.888888888888889,12
6,Taunt,0.3,0.25,0.2727272727272727,12
7,Flaunt,0.5555555555555556,0.5,0.5263157894736842,10
8,Joke,0.4444444444444444,0.4,0.4210526315789474,10
9,Oppose,0.3333333333333333,0.3,0.3157894736842105,10
10,Comfort,0.8125,0.7222222222222222,0.7647058823529411,18
11,Care,0.76,1.0,0.8636363636363636,19
12,Inform,0.68,0.5964912280701754,0.6355140186915889,57
13,Advise,0.5555555555555556,0.8,0.6557377049180328,25
14,Arrange,0.5714285714285714,0.7272727272727273,0.64,22
15,Introduce,0.7,0.6666666666666666,0.6829268292682926,21
16,Leave,0.6190476190476191,0.7647058823529411,0.6842105263157895,17
17,Prevent,0.8571428571428571,0.8,0.8275862068965518,15
18,Greet,1.0,0.8333333333333334,0.9090909090909091,12
19,Ask for help,0.7142857142857143,0.5,0.588235294117647,10
