true/pred,Complain,Praise,Apologise,Thank,Criticize,Agree,Taunt,Flaunt,Joke,Oppose,Comfort,Care,Inform,Advise,Arrange,Introduce,Leave,Prevent,Greet,Ask for help
Complain,35,1,0,0,7,0,2,0,0,3,1,0,5,3,0,0,0,0,0,0
Praise,0,35,0,1,0,3,1,0,0,0,0,0,2,1,0,0,0,0,0,0
Apologise,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thank,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Criticize,3,0,0,0,12,0,1,0,0,0,0,2,1,2,1,0,0,1,0,0
Agree,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taunt,1,1,0,0,2,0,3,0,3,0,0,0,1,0,1,0,0,0,0,0
Flaunt,3,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0
Joke,1,0,0,0,0,0,0,2,4,0,0,0,0,2,0,0,1,0,0,0
Oppose,1,0,0,0,1,0,0,1,0,3,0,0,0,0,0,3,0,1,0,0
Comfort,2,0,0,0,0,0,1,0,0,1,13,0,0,0,0,0,1,0,0,0
Care,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
Inform,4,2,0,0,0,0,0,0,0,0,0,2,34,5,5,3,2,0,0,0
Advise,0,0,0,0,0,0,1,0,0,0,1,1,0,20,1,0,1,0,0,0
Arrange,0,0,0,0,1,0,1,0,0,0,0,0,0,1,16,0,1,0,0,2
Introduce,0,0,0,0,0,0,0,1,1,0,0,0,3,1,1,14,0,0,0,0
Leave,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,13,0,0,0
Prevent,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,12,0,0
Greet,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0
Ask for help,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,5
