true/pred,Complain,Praise,Apologise,Thank,Criticize,Agree,Taunt,Flaunt,Joke,Oppose,Comfort,Care,Inform,Advise,Arrange,Introduce,Leave,Prevent,Greet,Ask for help
Complain,32,6,0,1,3,1,0,0,0,1,0,1,6,2,1,1,1,0,1,0
Praise,17,9,2,2,1,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0
Apologise,9,1,2,3,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,0
Thank,6,2,0,3,1,2,0,0,0,0,0,1,5,0,1,0,2,1,1,0
Criticize,8,1,1,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0
Agree,2,1,1,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,1,0
Taunt,6,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0
Flaunt,2,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0
Joke,4,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Oppose,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0
Comfort,5,5,0,3,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Care,7,1,3,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Inform,13,2,4,3,1,0,0,0,0,0,0,1,26,2,2,1,2,0,0,0
Advise,11,3,1,1,1,0,0,0,0,0,0,0,3,1,3,0,1,0,0,0
Arrange,5,0,3,1,1,0,0,0,0,0,0,0,7,3,1,0,0,0,1,0
Introduce,9,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,2,0,0,0
Leave,12,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Prevent,3,1,2,2,1,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0
Greet,1,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0
Ask for help,1,2,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0
