true/pred,Complain,Praise,Apologise,Thank,Criticize,Agree,Taunt,Flaunt,Joke,Oppose,Comfort,Care,Inform,Advise,Arrange,Introduce,Leave,Prevent,Greet,Ask for help
Complain,0.561404,0.105263,0.000000,0.017544,0.052632,0.017544,0.000000,0.000000,0.000000,0.017544,0.000000,0.017544,0.105263,0.035088,0.017544,0.017544,0.017544,0.000000,0.017544,0.000000
Praise,0.395349,0.209302,0.046512,0.046512,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000,0.023256,0.000000,0.255814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Apologise,0.333333,0.037037,0.074074,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.370370,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000
Thank,0.240000,0.080000,0.000000,0.120000,0.040000,0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.200000,0.000000,0.040000,0.000000,0.080000,0.040000,0.040000,0.000000
Criticize,0.347826,0.043478,0.043478,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.434783,0.043478,0.000000,0.000000,0.000000,0.000000,0.043478,0.000000
Agree,0.166667,0.083333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083333,0.166667,0.166667,0.166667,0.000000,0.000000,0.000000,0.083333,0.000000
Taunt,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.083333,0.083333,0.083333,0.000000,0.000000,0.000000,0.000000
Flaunt,0.200000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Joke,0.400000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Oppose,0.200000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,0.000000,0.100000,0.000000,0.000000,0.100000,0.000000
Comfort,0.277778,0.277778,0.000000,0.166667,0.000000,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055556,0.055556,0.055556,0.055556,0.000000,0.000000,0.000000,0.000000
Care,0.368421,0.052632,0.157895,0.105263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Inform,0.228070,0.035088,0.070175,0.052632,0.017544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017544,0.456140,0.035088,0.035088,0.017544,0.035088,0.000000,0.000000,0.000000
Advise,0.440000,0.120000,0.040000,0.040000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,0.040000,0.120000,0.000000,0.040000,0.000000,0.000000,0.000000
Arrange,0.227273,0.000000,0.136364,0.045455,0.045455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.318182,0.136364,0.045455,0.000000,0.000000,0.000000,0.045455,0.000000
Introduce,0.428571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.380952,0.047619,0.000000,0.047619,0.095238,0.000000,0.000000,0.000000
Leave,0.705882,0.058824,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.117647,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000
Prevent,0.200000,0.066667,0.133333,0.133333,0.066667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.266667,0.000000,0.066667,0.000000,0.000000,0.000000,0.066667,0.000000
Greet,0.083333,0.083333,0.083333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000
Ask for help,0.100000,0.200000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
